original,norm,llama
"Cổ phiếu VHM của Vinhomes trong sáng nay tăng tới 4,2% đã đóng góp 2 điểm trong tổng mức tăng 6,16 điểm của VN Index.",cổ phiếu vhm của vinhomes trong sáng nay tăng tới bốn phẩy hai phần trăm đã đóng góp hai điểm trong tổng mức tăng sáu phẩy mười sáu điểm của vn index .. ,Cổ phiếu VHM của Vinhomes trong sáng nay tăng tới bốn phẩy hai phần trăm đã đóng góp hai điểm trong tổng mức tăng sáu phẩy mười sáu điểm của VN Index.
"Khi là triệu phú ở quốc gia giàu có bậc nhất hành tinh, việc ở khách sạn 5 sao hay đi bằng máy bay trên khoang hạng nhất đã là điều quá đỗi bình thường.","khi là triệu phú ở quốc gia giàu có bậc nhất hành tinh , việc ở khách sạn năm sao hay đi bằng máy bay trên khoang hạng nhất đã là điều quá đỗi bình thường .. ","Khi là triệu phú ở quốc gia giàu có bậc nhất hành tinh, việc ở khách sạn năm sao hay đi bằng máy bay trên khoang hạng nhất đã là điều quá đỗi bình thường."
"Trong trailer phim ""Chiếm đoạt"", Miu Lê, Phương Anh Đào, Lãnh Thanh và Karik có nhiều cảnh quay táo bạo, hé lộ mối quan hệ phức tạp của 4 nhân vật.","trong trailer phim chiếm đoạt , miu lê , phương anh đào , lãnh thanh và karik có nhiều cảnh quay táo bạo , hé lộ mối quan hệ phức tạp của bốn nhân vật .. ","Trong trailer phim ""Chiếm đoạt"", Miu Lê, Phương Anh Đào, Lãnh Thanh và Karik có nhiều cảnh quay táo bạo, hé lộ mối quan hệ phức tạp của bốn người."
"9 đội chuyền nam, 9 đội nữ hay nhất được tuyển chọn từ 120 đội bóng của 3 khu vực dự tranh vòng chung kết giải bóng chuyền sinh viên toàn quốc từ ngày 6/11 đến 10/11.","chín đội chuyền nam , chín đội nữ hay nhất được tuyển chọn từ một trăm hai mươi đội bóng của ba khu vực dự tranh vòng chung kết giải bóng chuyền sinh viên toàn quốc từ ngày sáu tháng mười một đến mười tháng mười một .. ","mười một đội chuyền nam, mười một đội nữ hay nhất được tuyển chọn từ một trăm hai mươi đội bóng của ba khu vực dự tranh vòng chung kết giải bóng chuyền sinh viên toàn quốc từ ngày sáu tháng mười một đến mười một tháng mười một."
"Thu hoạch ghẹ trong thời tiết khắc nghiệt, nhiệt độ luôn dưới  10 độ C, miếng cơm chưa xuống bụng đã phải làm việc, anh Tuấn chỉ biết nỗ lực để kiếm nhiều tiền hơn gửi cho vợ con ở nhà.","thu hoạch ghẹ trong thời tiết khắc nghiệt , nhiệt độ luôn dưới mười độ c , miếng cơm chưa xuống bụng đã phải làm việc , anh tuấn chỉ biết nỗ lực để kiếm nhiều tiền hơn gửi cho vợ con ở nhà .. ","Thu hoạch ghẹ trong thời tiết khắc nghiệt, nhiệt độ luôn dưới mười độ C, miếng cơm chưa xuống bụng đã phải làm việc, anh Tuan chỉ biết nỗ lực để kiếm nhiều tiền hơn gửi cho vợ con ở nhà."
Ở vị trí thứ 195 trong danh sách các công ty lớn nhất nước Mỹ là một doanh nghiệp có phần lớn hoạt động kinh doanh tại Hàn Quốc và không có khách hàng nào ở Mỹ.,ở vị trí thứ một trăm chín mươi lăm trong danh sách các công ty lớn nhất nước mỹ là một doanh nghiệp có phần lớn hoạt động kinh doanh tại hàn quốc và không có khách hàng nào ở mỹ .. ,ở vị trí thứ một trăm chín mươi lăm trong danh sách các công ty lớn nhất nước mỹ là một doanh nghiệp có phần lớn hoạt động kinh doanh tại hàn quốc và không có khách hàng nào ở mỹ.
"Chứng kiến trận thua của Nhật Bản trước Croatia sau loạt sút luân lưu, HLV Luis Enrique đã có những chỉ dẫn cho các cầu thủ của Tây Ban Nha phải luyện tập đá 11 m trước trận gặp Morocco.","chứng kiến trận thua của nhật bản trước croatia sau loạt sút luân lưu , huấn luyện viên luis enrique đã có những chỉ dẫn cho các cầu thủ của tây ban nha phải luyện tập đá mười một mét trước trận gặp morocco .. ","Chứng kiến trận thua của Nhật Bản trước Croatia sau loạt sút luân lưu, huấn luyện viên Luis Enrique đã có những chỉ dẫn cho các cầu thủ của Tây Ban Nha phải luyện tập đá mười một mét trước trận gặp Morocco."
"Trong chuyến làm khách trên sân của Pohang Steelers (Hàn Quốc), Hà Nội FC không thể gây bất ngờ, chấp nhận thua 0 2, chính thức hết cơ hội đi tiếp tại AFC Champions League 2023 24.","trong chuyến làm khách trên sân của pohang steelers hàn quốc , hà nội fc không thể gây bất ngờ , chấp nhận thua không hai , chính thức hết cơ hội đi tiếp tại afc champions league hai nghìn không trăm hai mươi ba hai mươi tư .. ","Trong chuyến làm khách trên sân của Pohang Steelers (Hàn Quốc), Hà Nội FC không thể gây bất ngờ, chấp nhận thua không hai, chính thức hết cơ hội đi tiếp tại AFC Champions League hai nghìn không trăm hai mươi ba hai mươi tư."
"Hôm nay, Báo Điện tử Dân trí đã làm thủ tục kết chuyển số tiền: 1,584,379,557 đồng đến các gia đình có hoàn cảnh khó khăn mà bạn đọc đã gửi về Báo Điện tử Dân trí và Quỹ KHVN trong tuần qua.","hôm nay , báo điện tử dân trí đã làm thủ tục kết chuyển số tiền . một tỷ , năm trăm tám mươi tư triệu ba trăm bảy mươi chín nghìn năm trăm năm mươi bảy đồng đến các gia đình có hoàn cảnh khó khăn mà bạn đọc đã gửi về báo điện tử dân trí và quỹ khoa học việt nam trong tuần qua .. ","Hôm nay, Báo Điện tử Dân trí đã làm thủ tục kết chuyển số tiền một tỷ, năm trăm tám mươi tư triệu ba trăm bảy mươi chín nghìn năm trăm năm mươi bảy đồng đến các gia đình có hoàn cảnh khó khăn mà bạn đọc đã gửi về Báo Điện tử Dân trí và Quỹ Khoa học Việt Nam trong tuần qua."
"Cơ quan công an, các đơn vị liên quan tại Bình Định đang vào cuộc làm rõ thông tin việc bé gái 3 tuổi ở TP Quy Nhơn bị cô giáo bạo hành, dẫn đến có nhiều vết bầm trên cơ thể.","cơ quan công an , các đơn vị liên quan tại bình định đang vào cuộc làm rõ thông tin việc bé gái ba tuổi ở thành phố quy nhơn bị cô giáo bạo hành , dẫn đến có nhiều vết bầm trên cơ thể .. ","Cơ quan công an, các đơn vị liên quan tại Bình Định đang vào cuộc làm rõ thông tin việc bé gái một tuổi ở thành phố Quy Nhơn bị cô giáo bạo hành, dẫn đến có nhiều vết bầm trên cơ thể."
"1 kg cá ngừ đại dượng đạt tiêu chuẩn bán ở thị trường Nhật Bản có thể gấp 5 lần so với giá nội địa. Tuy nhiên, thực tế ngư dân Việt Nam vẫn chưa tuân thủ các quy trình câu, xử lý, bảo quản nên chất lượng chưa đạt, hiệu quả chưa cao.","một kí lô gam cá ngừ đại dượng đạt tiêu chuẩn bán ở thị trường nhật bản có thể gấp năm lần so với giá nội địa . tuy nhiên , thực tế ngư dân việt nam vẫn chưa tuân thủ các quy trình câu , xử lý , bảo quản nên chất lượng chưa đạt , hiệu quả chưa cao .. ","một kilôgam cá ngừ đại dượng đạt tiêu chuẩn bán ở thị trường Nhật Bản có thể gấp năm lần so với giá nội địa. Tuy nhiên, thực tế ngư dân Việt Nam vẫn chưa tuân thủ các quy trình câu, xử lý, bảo quản nên chất lượng chưa đạt, hiệu quả chưa cao."
"Ông Trịnh Văn Quyết đang sở hữu trên 215,4 triệu cổ phiếu FLC tương ứng 30,34% vốn điều lệ, trong khi hầu hết lãnh đạo FLC và người nhà không nắm giữ hoặc sở hữu rất khiêm tốn cổ phiếu này.","ông trịnh văn quyết đang sở hữu trên hai trăm mười lăm phẩy bốn triệu cổ phiếu flc tương ứng ba mươi phẩy ba mươi tư phần trăm vốn điều lệ , trong khi hầu hết lãnh đạo flc và người nhà không nắm giữ hoặc sở hữu rất khiêm tốn cổ phiếu này .. ","Ông Trịnh Văn Quyết đang sở hữu trên hai trăm mười lăm phẩy bốn triệu cổ phiếu FLC tương ứng ba mươi phẩy ba mươi tư phần trăm vốn điều lệ, trong khi hầu hết lãnh đạo FLC và người nhà không nắm giữ hoặc sở hữu rất khiêm tốn cổ phiếu này."
"Tối 16/9, lễ xuất quân của đoàn Thể thao Việt Nam tham dự Asiad 19 được tổ chức tại Hà Nội. Đoàn Việt Nam đặt ra chỉ tiêu giành 2 đến 5 huy chương vàng (HCV) tại Đại hội Thể thao châu Á năm nay.","tối mười sáu tháng chín , lễ xuất quân của đoàn thể thao việt nam tham dự asiad mười chín được tổ chức tại hà nội . đoàn việt nam đặt ra chỉ tiêu giành hai đến năm huy chương vàng huy chương vàng tại đại hội thể thao châu á năm nay .. ","Tối mười sáu tháng chín, lễ xuất quân của đoàn thể thao Việt Nam tham dự Asiad mười chín được tổ chức tại Hà Nội. Đoàn Việt Nam đặt ra chỉ tiêu giành hai đến năm huy chương vàng huy chương vàng tại đại hội thể thao châu Á năm nay."
"Vương quốc Anh đã cạn kiệt vũ khí có thể viện trợ cho Kiev sau gần 2 năm nhưng vẫn tích cực vận động các nước khác, The Times đưa tin dựa trên lời một nguồn thạo tin trong quân đội Ukraine.","vương quốc anh đã cạn kiệt vũ khí có thể viện trợ cho kiev sau gần hai năm nhưng vẫn tích cực vận động các nước khác , the times đưa tin dựa trên lời một nguồn thạo tin trong quân đội ukraine .. ","Vương quốc Anh đã cạn kiệt vũ khí có thể viện trợ cho Kiev sau gần hai năm nhưng vẫn tích cực vận động các nước khác, The Times đưa tin dựa trên lời một nguồn thạo tin trong quân đội Ukraine."
"Tập luyện tốt cho sức khỏe, tuy nhiên đại dịch Covid 19 đã khiến cho nhiều người thiếu vận động. Vậy mỗi ngày chúng ta cần luyện tập bao lâu?","tập luyện tốt cho sức khỏe , tuy nhiên đại dịch covid mười chín đã khiến cho nhiều người thiếu vận động . vậy mỗi ngày chúng ta cần luyện tập bao lâu .. ","Tập luyện tốt cho sức khỏe, tuy nhiên đại dịch Covid mười chín đã khiến cho nhiều người thiếu vận động. Vậy mỗi ngày chúng ta cần luyện tập bao lâu?"
"Tòa nhà số 400 đường Ninh Ba, Thượng Hải, Trung Quốc từng gây xôn xao vì được ví ""mỏng như tờ giấy"", sau nhiều năm các cư dân ở đây sẽ có cuộc sống mới.","tòa nhà số bốn trăm đường ninh ba , thượng hải , trung quốc từng gây xôn xao vì được ví mỏng như tờ giấy , sau nhiều năm các cư dân ở đây sẽ có cuộc sống mới .. ","Tòa nhà số bốn trăm đường Ninh Ba, Thượng Hải, Trung Quốc từng gây xôn xao vì được ví mỏng như tờ giấy, sau nhiều năm các cư dân ở đây sẽ có cuộc sống mới."
Cầu thủ nhập tịch mới nhất của đội tuyển Indonesia Justin Hubner sớm tuyên bố muốn đánh bại đội tuyển Việt Nam tại Asian Cup 2023.,cầu thủ nhập tịch mới nhất của đội tuyển indonesia justin hubner sớm tuyên bố muốn đánh bại đội tuyển việt nam tại asian cup hai nghìn không trăm hai mươi ba .. ,Cầu thủ nhập tịch mới nhất của đội tuyển Indonesia Justin Hubner sớm tuyên bố muốn đánh bại đội tuyển Việt Nam tại Asian Cup hai nghìn hai mươi ba.
"Từng có thu nhập 40 triệu đồng/tháng nhưng do ảnh hưởng của dịch Covid 19, vợ chồng chị Linh mất việc, phải bán gấp căn nhà mới mua để tất toán món nợ ngân hàng lên đến 700 triệu đồng.","từng có thu nhập bốn mươi triệu đồng , tháng nhưng do ảnh hưởng của dịch covid mười chín , vợ chồng chị linh mất việc , phải bán gấp căn nhà mới mua để tất toán món nợ ngân hàng lên đến bảy trăm triệu đồng .. ","Từng có thu nhập bốn mươi triệu đồng/tháng nhưng do ảnh hưởng của dịch Covid 19, vợ chồng chị Linh mất việc, phải bán gấp căn nhà mới mua để tất toán món nợ ngân hàng lên đến bảy trăm triệu đồng."
"A Level là chương trình dành cho học sinh trung học, các em học sinh có thể học ngay khi hoàn tất lớp 10 ở Việt Nam hoặc hoàn thành GCSE/iGCSE tại các trường trung học Anh.","a level là chương trình dành cho học sinh trung học , các em học sinh có thể học ngay khi hoàn tất lớp mười ở việt nam hoặc hoàn thành gcse , igcse tại các trường trung học anh .. ","A Level là chương trình dành cho học sinh trung học, các em học sinh có thể học ngay khi hoàn tất lớp mười một ở Việt Nam hoặc hoàn thành GCSE/iGCSE tại các trường trung học Anh."
"Học sinh Tây Ban Nha từ 9 tuổi có thể đăng ký học tại Trường Đấu bò tót   Đấu trường Las Ventas, thủ đô Madrid. Tuy nhiên, trong 100 học sinh, chỉ 5, 6 em trở thành vận động viên đấu bò chuyên nghiệp.","học sinh tây ban nha từ chín tuổi có thể đăng ký học tại trường đấu bò tót đấu trường las ventas , thủ đô madrid . tuy nhiên , trong một trăm học sinh , chỉ năm , sáu em trở thành vận động viên đấu bò chuyên nghiệp .. ","Học sinh Tây Ban Nha từ chín tuổi có thể đăng ký học tại trường đấu bò tót đấu trường Las Ventas, thủ đô Madrid. Tuy nhiên, trong một trăm học sinh, chỉ năm, sáu em trở thành vận động viên đấu bò chuyên nghiệp."
Ukraine được cho là đã đưa một số đơn vị của Lữ đoàn Cơ giới 47 (hay lữ đoàn nắm đấm thép) đến mặt trận Avdiivka ở miền Đông để giữ phòng tuyến này trước làn sóng tấn công dồn dập của Nga.,ukraine được cho là đã đưa một số đơn vị của lữ đoàn cơ giới bốn mươi bảy hay lữ đoàn nắm đấm thép đến mặt trận avdiivka ở miền đông để giữ phòng tuyến này trước làn sóng tấn công dồn dập của nga .. ,Ukraine được cho là đã đưa một số đơn vị của lữ đoàn cơ giới bốn mươi bảy hay lữ đoàn nắm đấm thép đến mặt trận Avdiivka ở miền Đông để giữ phòng tuyến này trước làn sóng tấn công dồn dập của Nga.
"Hầu như mọi loài cá mập dài hơn chiều dài cơ thể con người (1,8 mét) đều có thể trở thành mối đe dọa tiềm ẩn đối với chúng ta.",hầu như mọi loài cá mập dài hơn chiều dài cơ thể con người một phẩy tám mét đều có thể trở thành mối đe dọa tiềm ẩn đối với chúng ta .. ,Hầu như mọi loài cá mập dài hơn chiều dài cơ thể con người một phẩy tám mét đều có thể trở thành mối đe dọa tiềm ẩn đối với chúng ta.
"Theo Cơ quan vũ trụ có người lái Trung Quốc (CMSA), tàu Thần Châu 15 đã kết nối thành công với trạm Thiên Cung vào rạng sáng 30/11.","theo cơ quan vũ trụ có người lái trung quốc cmsa , tàu thần châu mười lăm đã kết nối thành công với trạm thiên cung vào rạng sáng ba mươi tháng mười một .. ","Theo Cơ quan vũ trụ có người lái Trung Quốc (CMSA), tàu Thần Châu mười lăm đã kết nối thành công với trạm Thiên Cung vào rạng sáng ba mươi tháng mười một."
Dù chỉ mới hoàn thành trong năm 2016 nhưng ngôi nhà ở Lâm Đồng đã nhận được lời khen không ngớt từ các kiến trúc sư hàng đầu ở trong nước và quốc tế. Ngôi nhà nhỏ nhắn nhưng hết sức tiện nghi này không chỉ là không gian sống mơ ước của hầu hết người Việt mà còn của bất cứ ai trên toàn thế giới.,dù chỉ mới hoàn thành trong năm hai nghìn không trăm mười sáu nhưng ngôi nhà ở lâm đồng đã nhận được lời khen không ngớt từ các kiến trúc sư hàng đầu ở trong nước và quốc tế . ngôi nhà nhỏ nhắn nhưng hết sức tiện nghi này không chỉ là không gian sống mơ ước của hầu hết người việt mà còn của bất cứ ai trên toàn thế giới .. ,Dù chỉ mới hoàn thành trong năm một nghìn chín trăm mười sáu nhưng ngôi nhà ở Lâm Đồng đã nhận được lời khen không ngớt từ các kiến trúc sư hàng đầu ở trong nước và quốc tế. Ngôi nhà nhỏ nhắn nhưng hết sức tiện nghi này không chỉ là không gian sống mơ ước của hầu hết người Việt mà còn của bất cứ ai trên toàn thế giới.
"Châu Âu phải vật lộn với lạm phát tăng vọt và chi phí nhập khẩu năng lượng tăng cao. Trong khi đó, Nga dù hứng chịu các lệnh cấm vận từ EU nhưng vẫn xuất khẩu được 15 tỷ USD khí đốt cho khu vực này.","châu âu phải vật lộn với lạm phát tăng vọt và chi phí nhập khẩu năng lượng tăng cao . trong khi đó , nga dù hứng chịu các lệnh cấm vận từ eu nhưng vẫn xuất khẩu được mười lăm tỷ usd khí đốt cho khu vực này .. ","Châu Âu phải vật lộn với lạm phát tăng vọt và chi phí nhập khẩu năng lượng tăng cao. Trong khi đó, Nga dù hứng chịu các lệnh cấm vận từ Liên minh châu Âu nhưng vẫn xuất khẩu được mười lăm tỷ đô la Mỹ khí đốt cho khu vực này."
