original,norm,llama
"Cháu năm nay 17 tuổi, đang là học sinh lớp 11. Cháu từng là đứa trẻ hạnh phúc hoặc ít nhất cháu nghĩ rằng, mình hạnh phúc. Nhưng bây giờ, cháu nhận ra hình như không phải vậy.","cháu năm nay mười bảy tuổi , đang là học sinh lớp mười một . cháu từng là đứa trẻ hạnh phúc hoặc ít nhất cháu nghĩ rằng , mình hạnh phúc . nhưng bây giờ , cháu nhận ra hình như không phải vậy .. ","Cháu năm nay mười bảy tuổi, đang là học sinh lớp mười một. Cháu từng là đứa trẻ hạnh phúc hoặc ít nhất cháu nghĩ rằng, mình hạnh phúc. Nhưng bây giờ, cháu nhận ra hình như không phải vậy."
Sứ mệnh lịch sử của NASA được thực hiện vào ngày 26/9 đã rút ngắn quỹ đạo bay của một tiểu hành tinh nằm cách xa Trái Đất 11 triệu km.,sứ mệnh lịch sử của nasa được thực hiện vào ngày hai mươi sáu tháng chín đã rút ngắn quỹ đạo bay của một tiểu hành tinh nằm cách xa trái đất mười một triệu km .. ,Sứ mệnh lịch sử của NASA được thực hiện vào ngày hai mươi sáu tháng chín đã rút ngắn quỹ đạo bay của một tiểu hành tinh nằm cách xa Trái Đất mười một triệu kilomet.
"Thông tin từ Học viện Tài chính ngày 16/7, ngưỡng điểm đảm bảo chất lượng đầu vào của Học viện năm 2019 dự kiến là 18 điểm.","thông tin từ học viện tài chính ngày mười sáu tháng bảy , ngưỡng điểm đảm bảo chất lượng đầu vào của học viện năm hai nghìn không trăm mười chín dự kiến là mười tám điểm .. ","Thông tin từ học viện tài chính ngày mười sáu tháng bảy, ngưỡng điểm đảm bảo chất lượng đầu vào của học viện năm hai nghìn không trăm mười chín dự kiến là mười tám điểm."
"Trước việc cầu nối 2 tỉnh Đắk Lắk   Gia Lai hoàn thiện gần 90% rồi dang dở suốt 5 năm qua, mới đây chủ đầu tư đang lên phương án xin được xã hội hóa để hoàn tất cầu.","trước việc cầu nối hai tỉnh đắk lắk gia lai hoàn thiện gần chín mươi phần trăm rồi dang dở suốt năm năm qua , mới đây chủ đầu tư đang lên phương án xin được xã hội hóa để hoàn tất cầu .. ","Trước việc cầu nối hai tỉnh Đắk Lắk và Gia Lai hoàn thiện gần chín mươi phần trăm rồi dang dở suốt năm năm qua, mới đây chủ đầu tư đang lên phương án xin được xã hội hóa để hoàn tất cầu."
"Giá trị tài trợ của Đại học Harvard đã tăng thêm 1 tỷ đô la, đạt mức cao nhất mọi thời đại là 41,9 tỷ đô la.","giá trị tài trợ của đại học harvard đã tăng thêm một tỷ đô la , đạt mức cao nhất mọi thời đại là bốn mươi mốt phẩy chín tỷ đô la .. ","Giá trị tài trợ của Đại học Harvard đã tăng thêm một tỷ đô la, đạt mức cao nhất mọi thời đại là bốn mươi mốt phẩy chín tỷ đô la."
"Hơn nửa chặng đường thực hiện các chương trình, kế hoạch về bình đẳng giới giai đoạn 2021 2025, tầm nhìn đến năm 2030, tỉnh Nghệ An đã đạt được nhiều kết quả quan trọng.","hơn nửa chặng đường thực hiện các chương trình , kế hoạch về bình đẳng giới giai đoạn hai nghìn không trăm hai mươi mốt hai nghìn không trăm hai mươi lăm , tầm nhìn đến năm hai nghìn không trăm ba mươi , tỉnh nghệ an đã đạt được nhiều kết quả quan trọng .. ","Hơn nửa chặng đường thực hiện các chương trình, kế hoạch về bình đẳng giới giai đoạn một nghìn chín trăm hai mươi mốt hai nghìn không trăm hai mươi lăm, tầm nhìn đến năm hai nghìn không trăm ba mươi, tỉnh Nghệ An đã đạt được nhiều kết quả quan trọng."
"""Hiện tại, tình yêu của một người trung niên, tuổi U 50 chắc chắn sẽ ""đầm"" hơn, bình tĩnh hơn chứ không dạt dào, sôi nổi như thuở còn đôi mươi nữa"", Bằng Kiều chia sẻ.","hiện tại , tình yêu của một người trung niên , tuổi u năm mươi chắc chắn sẽ đầm hơn , bình tĩnh hơn chứ không dạt dào , sôi nổi như thuở còn đôi mươi nữa , bằng kiều chia sẻ .. ","Hiện tại, tình yêu của một người trung niên, tuổi năm mươi chắc chắn sẽ đầm hơn, bình tĩnh hơn chứ không dạt dào, sôi nổi như thuở còn hai mươi nữa, bằng Kiều chia sẻ."
"Từ ngày 05/07/2019, trường ĐH Kinh tế   ĐH QGHN  tuyển thẳng  80 chỉ tiêu thông qua phương thức xét học bạ THPT lớp 12  đạt 24 điểm trở lên tổ hợp các khối D 01, A 01, D 07, D 08.","từ ngày năm tháng bảy năm hai nghìn không trăm mười chín , trường đại học kinh tế đại học quốc gia hà nội tuyển thẳng tám mươi chỉ tiêu thông qua phương thức xét học bạ trung học phổ thông lớp mười hai đạt hai mươi tư điểm trở lên tổ hợp các khối không d một , không a một , không d bảy , không d tám .. ","Từ ngày năm tháng bảy năm hai nghìn không trăm mười chín, trường đại học kinh tế đại học quốc gia hà nội tuyển thẳng tám mươi chỉ tiêu thông qua phương thức xét học bạ trung học phổ thông lớp mười hai đạt hai mươi tư điểm trở lên tổ hợp các khối không d một, không a một, không d bảy, không d tám."
Cụ bà 68 tuổi ở Quảng Ngãi bất ngờ và mừng vui khi nhận lại đầy đủ 200 tờ tiền mệnh giá 500 nghìn đồng đã đánh rơi trước đó 3 ngày.,cụ bà sáu mươi tám tuổi ở quảng ngãi bất ngờ và mừng vui khi nhận lại đầy đủ hai trăm tờ tiền mệnh giá năm trăm nghìn đồng đã đánh rơi trước đó ba ngày .. ,Cụ bà sáu mươi tám tuổi ở Quảng Ngãi bất ngờ và mừng vui khi nhận lại đầy đủ hai trăm tờ tiền mệnh giá năm trăm nghìn đồng đã đánh rơi trước đó ba ngày.
"Theo Nghị định 47, người gửi hàng trên xe khách phải cung cấp đầy đủ, chính xác 6 thông tin. Nhiều người lo ngại về nguy cơ lộ, lọt thông tin cá nhân khi cung cấp cho các nhà xe.","theo nghị định bốn mươi bảy , người gửi hàng trên xe khách phải cung cấp đầy đủ , chính xác sáu thông tin . nhiều người lo ngại về nguy cơ lộ , lọt thông tin cá nhân khi cung cấp cho các nhà xe .. ","Theo Nghị định bốn mươi bảy, người gửi hàng trên xe khách phải cung cấp đầy đủ, chính xác sáu thông tin. Nhiều người lo ngại về nguy cơ lộ, lọt thông tin cá nhân khi cung cấp cho các nhà xe."
"Sau khi hoàn thành chương trình IM Japan, người lao động về nước đúng hạn sẽ được hỗ trợ hơn 100 triệu đồng để khởi nghiệp và được nhận khoản tiền bảo hiểm hưu trí khoảng 80 triệu đồng.","sau khi hoàn thành chương trình im japan , người lao động về nước đúng hạn sẽ được hỗ trợ hơn một trăm triệu đồng để khởi nghiệp và được nhận khoản tiền bảo hiểm hưu trí khoảng tám mươi triệu đồng .. ","Sau khi hoàn thành chương trình IM Japan, người lao động về nước đúng hạn sẽ được hỗ trợ hơn một trăm triệu đồng để khởi nghiệp và được nhận khoản tiền bảo hiểm hưu trí khoảng tám mươi triệu đồng."
"Coco Gauff đã ngược dòng đánh bại Aryna Sabalenka với tỷ số 2 6, 6 3, 6 2, qua đó giành danh hiệu vô địch đơn nữ US Open. Đây là danh hiệu Grand Slam đầu tiên của tay vợt 19 tuổi người Mỹ.","coco gauff đã ngược dòng đánh bại aryna sabalenka với tỷ số hai sáu , sáu ba , sáu hai , qua đó giành danh hiệu vô địch đơn nữ us open . đây là danh hiệu grand slam đầu tiên của tay vợt mười chín tuổi người mỹ .. ","Coco Gauff đã ngược dòng đánh bại Aryna Sabalenka với tỷ số hai mươi sáu, sáu ba, sáu hai, qua đó giành danh hiệu vô địch đơn nữ US Open. Đây là danh hiệu Grand Slam đầu tiên của tay vợt mười chín tuổi người Mỹ."
Trung Quốc chia sẻ về món quà mà nước này đã tặng Tổng thống Pháp Emmanuel Macron và Tổng thống Nga Vladimir Putin khi 2 nhà lãnh đạo tới thăm quốc gia tỷ dân.,trung quốc chia sẻ về món quà mà nước này đã tặng tổng thống pháp emmanuel macron và tổng thống nga vladimir putin khi hai nhà lãnh đạo tới thăm quốc gia tỷ dân .. ,Trung Quốc chia sẻ về món quà mà nước này đã tặng Tổng thống Pháp Emmanuel Macron và Tổng thống Nga Vladimir Putin khi hai nhà lãnh đạo tới thăm quốc gia tỷ dân.
"Hơn một thập niên sau khi Qatar gây bất ngờ vì được quyền đăng cai World Cup 2022, sự kiện bóng đá lớn nhất hành tinh đã giúp quốc gia nhỏ bé gia tăng vị thế chính trị trong khu vực và trên thế giới.","hơn một thập niên sau khi qatar gây bất ngờ vì được quyền đăng cai world cup hai nghìn không trăm hai mươi hai , sự kiện bóng đá lớn nhất hành tinh đã giúp quốc gia nhỏ bé gia tăng vị thế chính trị trong khu vực và trên thế giới .. ","Hơn một thập niên sau khi Qatar gây bất ngờ vì được quyền đăng cai World Cup hai nghìn không trăm hai mươi hai, sự kiện bóng đá lớn nhất hành tinh đã giúp quốc gia nhỏ bé gia tăng vị thế chính trị trong khu vực và trên thế giới."
"Quán cơm tấm nằm trên đường Thụy Khuê (Tây Hồ, Hà Nội) chỉ mở bán khoảng 7 tiếng mỗi ngày nhưng có thể hết vèo 600   700 suất.","quán cơm tấm nằm trên đường thụy khuê tây hồ , hà nội chỉ mở bán khoảng bảy tiếng mỗi ngày nhưng có thể hết vèo sáu trăm bảy trăm suất .. ","Quán cơm tấm nằm trên đường Thụy Khuê Tây Hồ, Hà Nội chỉ mở bán khoảng bảy tiếng mỗi ngày nhưng có thể hết vèo sáu trăm bảy trăm suất."
"Bực tức vì không đòi được nợ, Tú rủ thêm 9 thanh niên khác mang hung khí đi đánh dằn mặt con nợ, khiến người này tử vong.","bực tức vì không đòi được nợ , tú rủ thêm chín thanh niên khác mang hung khí đi đánh dằn mặt con nợ , khiến người này tử vong .. ","Bực tức vì không đòi được nợ, Tú rủ thêm chín thanh niên khác mang hung khí đi đánh dằn mặt con nợ, khiến người này tử vong."
